StartDate,EndDate,TS,Gend,Ex,susp_code,Inst.tot,Cont.tot,distA,distB,mfq1,mfq2,mfq3,mfq4,mfq5,mfq6,mfq7,mfq8,mfq9,mfq10,mfq11,mfq12,mfq13,mfq14,mfq15,mfq16,mfq17,mfq18,mfq19,mfq20,mfq21,mfq22,mfq23,mfq24,mfq25,mfq26,mfq27,mfq28,mfq29,relevance,severity,angry,warm,disgust,admire,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rf8,rf9,rf10,rf11,rf12,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,ie1,ie2,ie3,ie4,ie5,ie6,ie7,ie8,ie9,ie10,ie11,ie12,ie13,ie14,ie15,ie16,ie17,ie18,ie19,ie20,sex,age,race,Q162_6_TEXT,ses,income,big,relaff,Q172_1_TEXT,Q172_10_TEXT,rel_if,pray,relserv,relint,pol_for,pol_econ,pol_soc,pol_rel,pol_or,enjoy,task,cond
2/26/2016 12:54,2/26/2016 13:31,1:00-2:00,1,6,1,,8,5,5,3,5,2,4,5,5,3,4,5,6,5,6,5,5,3,3,5,6,4,2,6,6,5,6,6,6,5,5,5,5,2,1,4,1,3,7,5,8,4,7,6,6,4,2,1,9,6,6,1,1,3,6,6,4,5,1,4,4,5,3,5,4,5,5,5,6,5,6,7,4,1,7,5,6,4,5,5,5,6,1,20,5,,3,6,1,1,Baptist,,3,3,4,6,4,6,3,4,4,1,Cont,Care
2/26/2016 13:41,2/26/2016 14:39,2:00-3:00,1,6,1,,8,2,8,1,5,3,5,4,4,3,3,2,5,4,5,4,4,2,4,1,4,5,4,2,6,4,2,6,1,5,1,5,3,2,2,1,3,1,1,9,1,9,1,1,9,1,5,9,5,9,7,6,6,8,6,9,4,6,8,1,9,1,5,6,9,1,5,6,5,5,5,5,5,4,1,5,8,5,5,5,5,5,1,19,5,,3,7,2,8,,,5,1,2,5,3,7,3,2,2,1,Cont,Purity
2/26/2016 15:32,2/26/2016 17:35,3:45-4:45,2,3,2,,8,3,7,4,6,4,5,5,5,4,4,5,4,6,6,6,5,3,3,2,4,5,4,6,6,5,6,5,5,6,4,5,3,1,1,1,1,2,5,5,6,6,5,5,4,5,1,1,5,9,7,7,7,1,5,7,5,9,5,5,1,5,9,5,5,3,9,8,5,8,9,9,9,5,6,6,6,1,5,9,7,7,2,30,1,,3,3,1,1,christian,,2,4,1,6,4,5,5,3,5,3,Cont,Purity
2/29/2016 13:15,2/29/2016 14:30,2:00-3:00,1,6,3,,8,5,5,3,5,1,6,5,5,2,5,5,2,4,6,6,6,5,2,3,5,2,6,6,5,4,4,6,4,6,5,4,1,5,1,1,4,1,5,6,4,3,8,6,9,5,1,9,6,9,9,4,8,8,8,5,5,7,7,7,8,7,7,8,3,6,4,4,6,6,5,4,4,4,9,9,1,7,6,7,7,5,1,20,1,,2,7,1,1,pentecostal,,2,4,3,6,2,2,2,4,6,1,Cont,Purity
3/1/2016 11:43,3/1/2016 12:41,12:00-1:00,2,5,3,,8,7,3,6,5,5,4,6,4,4,6,6,6,6,3,4,3,6,4,1,5,1,6,3,2,3,4,6,1,6,6,4,6,3,4,3,2,1,8,1,9,1,5,9,1,9,1,1,9,1,2,3,5,2,5,8,6,6,4,5,1,1,1,9,1,8,1,1,9,4,4,8,1,2,6,9,9,1,6,9,7,1,2,19,5,,1,7,1,1,Baptist,,3,6,6,9,6,6,6,6,2,3,Cont,Care
3/1/2016 12:41,3/1/2016 13:26,1:00-2:00,2,5,1,,8,7,3,5,5,4,5,4,5,2,4,5,2,3,4,5,4,4,2,6,5,2,5,5,6,5,5,4,3,6,4,6,4,2,1,1,4,1,7,4,6,5,8,4,4,8,2,5,7,6,6,6,5,7,6,6,8,8,3,5,3,4,5,6,7,6,8,7,7,9,6,8,4,5,8,8,8,4,6,7,8,9,2,19,5,,3,5,1,1,Lutheran,,3,6,4,7,2,4,1,1,6,3,Cont,Purity
3/3/2016 11:38,3/3/2016 12:23,12:00-1:00,2,5,2,,8,5,5,4,5,6,6,5,3,4,5,2,5,6,5,5,5,3,2,4,4,4,3,4,6,6,4,6,2,6,2,5,4,2,1,3,2,4,7,5,5,8,5,4,9,6,5,4,4,8,5,6,6,4,7,9,8,8,7,6,5,5,8,5,9,4,5,7,5,8,8,2,5,7,7,5,3,5,7,7,6,4,2,18,4,,3,5,1,1,non denominational ,,3,3,4,4,4,7,1,5,3,1,Cont,Purity
3/3/2016 14:14,3/3/2016 15:40,3:00-4:00,1,6,3,,7,7,3,6,4,2,4,4,3,2,5,6,2,6,4,3,3,4,4,5,5,4,3,4,4,5,4,5,2,6,6,5,3,3,1,1,2,2,6,2,6,1,5,2,4,8,2,1,6,1,7,2,2,2,4,5,5,5,3,3,2,5,3,6,2,6,5,2,5,5,4,6,3,2,6,6,6,3,3,7,4,2,1,19,5,,3,5,1,1,Non-Denominational,,5,4,5,8,5,6,6,7,2,1,Cont,Care
3/15/2016 13:42,3/15/2016 14:46,2:00-3:00,2,4,1,,8,5,5,3,5,5,6,6,6,6,6,6,3,3,6,6,6,4,2,5,6,6,4,6,5,3,5,2,4,6,6,6,4,4,2,2,2,2,7,8,5,9,6,5,9,1,4,5,5,7,9,8,8,9,9,2,2,9,2,2,9,9,4,6,4,9,9,5,5,9,8,9,4,3,6,2,9,4,3,9,9,9,2,19,3,,4,4,1,2,,,3,5,5,8,4,5,5,7,3,1,Cont,Care
3/16/2016 13:25,3/16/2016 13:58,1:30-2:30,1,6,3,,8,5,5,4,4,2,6,5,6,6,6,4,4,4,6,6,6,6,2,5,5,5,2,6,5,5,4,5,1,6,3,5,2,4,2,3,1,4,6,8,6,8,5,2,9,2,3,5,2,5,3,4,5,7,8,8,2,6,5,7,7,8,8,6,7,7,8,3,5,6,4,7,9,5,6,2,8,5,4,6,5,7,1,19,2,,2,6,1,1,Baptist,,4,3,5,5,4,4,4,4,4,3,Cont,Care
3/16/2016 14:32,3/16/2016 15:13,2:30-3:30,1,6,3,,8,0,10,3,4,4,4,5,5,2,4,2,4,3,4,5,4,2,4,3,5,6,5,5,5,5,5,4,3,5,4,5,5,2,1,2,1,1,5,7,3,9,2,1,8,2,3,6,4,7,7,8,6,8,7,8,5,8,7,8,5,6,8,6,8,4,6,5,4,7,3,6,3,3,7,6,3,2,6,6,7,6,1,19,5,,2,7,1,2,,,3,3,3,6,3,2,2,3,6,1,Cont,Purity
3/18/2016 12:53,3/18/2016 13:49,1:30-2:30,1,6,2,,8,5,5,5,6,5,6,6,6,4,6,6,5,6,6,5,6,4,3,6,6,5,6,6,5,5,4,5,4,6,5,5,2,4,1,3,2,1,9,1,9,1,9,9,1,9,1,3,9,1,7,5,6,3,4,3,5,7,6,5,4,3,3,6,1,9,1,6,9,6,5,7,4,4,8,7,7,5,5,6,9,1,1,19,2,,2,7,1,1,Baptist,,3,5,6,7,2,3,5,6,5,1,Cont,Purity
3/18/2016 15:27,3/18/2016 16:14,3:45-4:45,2,3,1,,8,5,5,4,2,2,4,4,4,4,5,4,4,3,5,4,4,4,3,6,5,5,2,6,4,3,3,4,4,5,5,4,3,1,1,1,2,2,5,6,6,9,5,2,8,4,4,5,5,7,6,8,8,4,8,3,3,6,5,7,3,6,5,7,9,6,6,4,4,6,4,4,4,4,7,6,6,5,4,4,5,6,2,19,5,,3,4,1,2,,,2,4,5,7,4,4,4,4,4,1,Cont,Purity
3/19/2016 12:57,3/19/2016 13:46,1:00-2:00,2,3,1,,8,5,5,1,5,5,6,5,6,4,6,6,3,5,6,6,4,2,3,5,6,5,3,6,6,1,4,5,2,6,4,5,2,2,1,4,1,1,4,1,1,9,5,1,9,1,6,5,3,7,7,5,5,3,7,2,1,7,5,6,5,4,9,1,9,1,6,6,1,1,5,4,5,1,1,1,6,4,1,1,1,3,2,19,5,,4,5,3,9,,,,1,1,7,4,4,2,1,6,1,Cont,Purity
3/19/2016 13:46,3/19/2016 14:36,2:00-3:00,2,3,1,,8,5,5,4,6,2,6,6,6,4,5,5,5,6,6,6,6,6,3,6,6,6,1,6,5,2,2,4,6,5,5,6,5,2,1,5,1,4,8,6,9,7,9,3,8,7,1,9,9,5,9,9,7,7,8,8,2,9,3,7,5,7,1,9,4,9,6,9,9,6,1,9,4,1,9,9,9,4,4,8,9,7,2,18,5,,3,5,1,1,Baptist,,4,5,6,9,2,2,1,2,6,1,Cont,Care
3/21/2016 16:58,3/21/2016 18:06,5:30-6:30,2,5,2,,8,6,4,1,3,1,3,3,4,4,3,5,1,1,5,5,3,2,1,3,4,3,1,3,1,3,3,1,1,3,1,4,3,3,1,2,3,2,5,9,4,9,5,1,9,1,9,9,7,4,6,6,4,4,5,4,1,4,9,5,1,5,9,1,4,1,4,6,5,1,1,1,6,1,1,1,5,1,1,1,1,1,2,19,3,,3,4,3,2,,,1,1,2,6,4,5,1,1,5,3,Cont,Care
3/22/2016 12:49,3/22/2016 13:30,1:00-2:00,2,5,1,,8,4,6,5,4,1,5,3,4,1,5,4,2,4,4,5,4,4,3,2,3,2,2,3,3,3,5,4,2,5,4,4,1,1,1,1,2,3,9,1,8,1,8,7,7,9,1,2,9,1,5,1,5,1,3,8,4,7,2,2,1,2,2,8,1,9,4,3,9,7,8,8,1,2,9,8,8,2,3,9,9,4,2,19,5,,3,5,1,1,Baptist,,3,6,6,9,6,6,6,6,2,1,Cont,Purity
3/22/2016 13:36,3/22/2016 14:28,2:00-3:00,2,5,1,,8,5,5,6,5,4,5,4,5,2,4,4,4,5,4,5,5,5,5,6,5,6,4,5,5,5,4,5,1,6,5,5,4,1,1,1,5,1,9,4,7,4,6,4,3,5,1,2,7,6,4,4,6,4,6,9,5,6,1,4,1,4,1,9,5,9,9,6,9,9,4,9,1,1,9,7,9,1,5,9,9,9,2,18,5,,3,5,1,2,,,5,5,5,9,6,6,6,7,2,1,Cont,Purity
3/29/2016 10:42,3/29/2016 11:28,11:00-12:00,2,5,4,,8,5,5,4,6,5,6,5,5,3,5,3,4,4,5,4,4,3,5,6,5,6,4,5,4,4,2,3,1,5,5,5,3,3,1,1,3,1,4,4,5,7,4,4,7,6,4,6,5,8,5,6,7,4,7,9,8,8,7,8,2,5,7,5,5,9,7,3,7,3,4,9,3,3,8,8,8,4,3,8,6,4,2,19,5,,1,7,1,1,Baptist,,4,4,5,7,6,6,6,7,2,3,Cont,Purity
3/29/2016 13:46,3/29/2016 14:33,2:00-3:00,2,5,2,,8,7,3,5,4,4,5,5,4,2,5,5,4,5,5,5,4,4,3,6,6,3,5,5,6,5,4,4,5,6,6,5,3,2,1,4,2,1,8,4,9,2,9,4,7,8,1,2,8,1,4,4,5,4,6,8,4,6,2,2,7,6,1,9,2,9,6,7,9,5,2,8,2,4,9,9,4,4,4,8,8,4,2,18,5,,1,7,1,2,,,4,6,6,9,5,6,6,6,2,1,Cont,Purity
3/30/2016 13:10,3/30/2016 14:18,1:30-2:30,1,6,1,,8,5,5,5,5,4,6,5,6,5,6,5,5,5,5,6,4,2,3,1,6,6,5,5,6,6,4,4,5,6,6,6,2,1,1,1,3,1,7,4,9,5,7,8,9,9,1,1,9,2,9,9,8,9,9,4,1,9,8,6,1,5,4,1,1,7,8,1,7,5,6,3,5,6,1,1,4,4,2,5,6,6,1,20,1,,3,5,1,1,Non-Denominational,,2,4,4,5,5,5,4,6,4,1,Cont,Purity
3/31/2016 10:51,3/31/2016 11:39,11:00-12:00,2,5,1,,8,2,8,4,4,5,6,6,6,4,6,4,4,4,6,6,5,4,2,5,5,4,4,4,3,3,6,5,2,5,5,4,6,5,5,1,4,1,5,7,6,7,7,3,5,2,2,5,6,8,4,4,5,3,6,6,5,4,6,5,1,4,5,5,6,6,4,2,4,8,3,6,3,5,6,3,7,4,2,4,4,4,2,19,5,,3,7,1,2,,,2,3,4,5,6,6,6,4,2,3,Cont,Care
3/31/2016 12:10,4/7/2016 11:02,12:30-1:30,2,2,1,,8,3,7,5,3,3,4,4,4,5,4,4,3,4,3,2,3,6,6,4,5,4,4,3,3,3,4,5,3,6,5,3,1,3,4,1,2,1,5,5,5,1,6,6,1,2,1,1,9,2,9,2,4,5,1,1,9,7,4,1,4,2,1,8,1,8,3,5,9,3,1,9,1,1,9,2,8,1,5,9,9,1,2,18,5,,1,7,1,1,Baptist,,5,6,4,9,6,6,6,6,2,3,Cont,Care
3/31/2016 12:49,3/31/2016 13:42,1:00-2:00,2,5,2,,8,5,5,5,4,4,5,5,4,4,5,5,5,5,5,4,5,2,3,2,5,4,5,4,3,3,3,4,2,5,5,5,3,2,1,3,3,3,8,4,7,2,8,3,6,7,3,2,8,4,7,6,6,7,6,8,7,8,3,6,2,6,4,6,4,6,4,8,7,8,4,7,5,5,6,7,9,5,4,5,6,6,2,19,3,,1,7,1,1,Baptist,,3,4,5,6,6,7,6,6,2,3,Cont,Purity
4/1/2016 16:30,4/1/2016 17:28,4:45-5:45,2,3,4,,8,5,5,4,5,3,6,5,6,3,5,3,2,6,6,6,5,2,2,6,5,6,1,6,6,2,4,3,4,6,5,6,2,2,1,1,3,2,6,3,5,9,4,1,4,4,3,5,6,9,7,5,4,6,2,1,6,6,4,6,5,2,7,6,6,4,5,6,5,9,5,4,4,4,8,1,6,4,6,5,6,6,2,19,3,,3,6,1,1,nondenominational,,2,4,3,5,2,2,2,2,6,3,Cont,Purity
4/5/2016 10:48,4/5/2016 14:17,11:00-12:00,2,5,2,,8,5,5,5,6,3,5,6,4,2,5,6,4,5,5,5,3,3,3,6,4,4,3,4,5,5,6,5,2,6,4,4,1,1,1,3,2,1,8,6,8,5,5,1,3,2,1,4,6,5,6,7,5,4,7,9,5,6,9,9,6,5,6,4,5,9,4,1,6,5,5,6,6,4,5,6,5,3,5,6,6,4,2,19,2,,3,4,1,2,,,2,3,5,8,4,6,2,4,4,3,Cont,Purity
4/6/2016 12:14,4/6/2016 13:10,12:30-1:30,1,6,2,,8,6,4,2,5,3,6,6,5,5,6,5,4,5,6,5,4,5,5,5,6,6,4,5,4,6,5,2,2,5,3,4,4,4,2,5,2,3,4,8,3,8,3,2,9,3,5,7,5,7,6,8,9,3,6,5,3,3,8,7,2,8,5,4,7,3,7,7,2,6,6,5,5,7,2,2,1,6,7,2,2,3,1,18,5,,2,7,3,9,,,2,2,4,5,3,4,2,2,5,1,Cont,Care
4/6/2016 14:27,4/6/2016 15:02,2:30-3:30,1,6,3,,8,5,5,4,3,4,3,5,5,2,3,5,2,4,5,5,4,3,4,5,4,5,4,5,5,5,5,5,3,6,5,4,2,2,1,2,1,1,7,6,7,4,5,4,7,4,4,4,7,6,8,6,6,7,3,8,3,6,7,7,2,3,7,6,7,9,8,4,6,8,8,6,3,6,8,6,7,7,6,7,6,6,1,21,2,,3,5,1,1,Evangelical Free,,3,5,4,7,3,5,3,5,4,3,Cont,Purity
4/7/2016 10:42,4/7/2016 11:28,11:00-12:00,2,5,2,,8,5,5,3,5,1,6,4,4,3,3,5,4,4,5,5,4,5,4,6,5,2,2,6,4,2,6,1,2,5,4,5,4,3,1,1,1,1,3,7,6,8,5,6,9,5,3,5,6,6,6,3,4,3,5,7,2,5,3,7,3,5,6,6,4,9,4,2,6,5,6,4,6,3,5,4,5,3,6,6,5,5,2,18,2,,2,6,1,2,,,2,3,5,7,4,4,4,4,4,1,Cont,Care
4/7/2016 12:58,4/7/2016 13:42,1:00-2:00,2,5,2,,8,5,5,5,5,2,6,6,5,3,1,4,5,6,6,4,5,4,1,2,5,6,5,5,4,4,5,5,3,6,4,5,5,1,1,4,1,5,8,5,6,4,5,2,8,4,3,5,7,4,6,6,4,3,7,8,8,6,8,8,3,4,3,5,3,6,6,3,5,9,4,8,5,4,7,5,7,2,4,6,6,8,2,20,5,,2,7,1,1,Lutheran ,,2,4,3,7,5,6,3,6,3,1,Cont,Purity
4/7/2016 13:25,4/7/2016 13:54,1:30-2:30,1,6,2,,8,3,7,4,5,2,4,4,4,3,5,3,4,3,4,3,5,4,5,2,5,4,5,5,5,4,6,4,2,4,2,4,5,4,2,3,5,1,4,8,3,7,3,5,6,1,3,5,7,9,6,9,8,3,8,8,3,2,3,3,7,7,2,6,8,5,3,5,7,7,4,2,3,3,8,7,3,4,3,9,4,3,1,20,5,,2,5,1,2,,,2,6,4,6,5,5,4,5,3,1,Cont,Care
4/8/2016 15:17,4/8/2016 16:23,3:45-4:45,2,3,1,,8,10,0,6,5,5,6,6,6,5,6,6,5,6,6,6,6,2,6,3,6,6,1,5,4,5,2,1,1,6,6,5,1,5,1,2,1,1,5,9,9,4,6,9,9,1,1,1,9,9,9,1,9,1,5,9,6,9,1,9,1,9,1,9,4,5,1,1,6,7,1,9,3,1,9,9,1,1,1,9,9,1,2,18,1,,3,6,1,1,Christian,,4,3,3,9,4,5,1,7,3,1,Cont,Purity
